trial_number,params,mean_score,std_score,partition_scores
0,"{'tweedie_variance_power': 1.39963209507789, 'learning_rate': 0.22648248189516848, 'num_leaves': 192, 'min_child_samples': 62, 'feature_fraction': 0.4936111842654619, 'bagging_fraction': 0.49359671220172163, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 10, 'lambda_l1': 3.540362888980227, 'lambda_l2': 0.10292247147901223}",3161.1399205608177,48.115410349168535,"[3094.5992871903054, 3182.0855809591176, 3206.73489353303]"
1,"{'tweedie_variance_power': 1.8759278817295955, 'learning_rate': 0.11536162338241392, 'num_leaves': 64, 'min_child_samples': 22, 'feature_fraction': 0.5100427059120604, 'bagging_fraction': 0.5825453457757226, 'bagging_freq': 6, 'n_estimators': 500, 'max_depth': 6, 'lambda_l1': 3.0592644736118975, 'lambda_l2': 0.6974693032602092}",3531.261481068075,169.77678586292794,"[3572.1999334893885, 3305.9038270194105, 3715.6806826954266]"
2,"{'tweedie_variance_power': 1.3337157188281745, 'learning_rate': 0.008082071885709252, 'num_leaves': 128, 'min_child_samples': 80, 'feature_fraction': 0.5198042692950159, 'bagging_fraction': 0.708540663048167, 'bagging_freq': 6, 'n_estimators': 100, 'max_depth': 10, 'lambda_l1': 0.8526206184364576, 'lambda_l2': 0.3252579649263976}",3870.0379275584796,66.67037895403884,"[3779.001004626989, 3936.8076982118287, 3894.30507983662]"
3,"{'tweedie_variance_power': 1.8591084298026666, 'learning_rate': 0.24659691172104828, 'num_leaves': 208, 'min_child_samples': 34, 'feature_fraction': 0.45860326840383037, 'bagging_fraction': 0.8105398159072941, 'bagging_freq': 5, 'n_estimators': 200, 'max_depth': 9, 'lambda_l1': 0.17194260557609198, 'lambda_l2': 4.546602010393911}",3467.3278104707047,285.6525491810623,"[3620.1446499082545, 3067.065521748181, 3714.7732597556787]"
4,"{'tweedie_variance_power': 1.3070239852800136, 'learning_rate': 0.043767126303409544, 'num_leaves': 80, 'min_child_samples': 54, 'feature_fraction': 0.7280261676059678, 'bagging_fraction': 0.5109126733153162, 'bagging_freq': 10, 'n_estimators': 800, 'max_depth': 15, 'lambda_l1': 4.474136752138244, 'lambda_l2': 2.9894998940554256}",2740.809215630476,43.69246713485601,"[2718.164276868939, 2801.920766021647, 2702.342604000843]"
5,"{'tweedie_variance_power': 1.8374993880184936, 'learning_rate': 0.0016565580440884786, 'num_leaves': 64, 'min_child_samples': 9, 'feature_fraction': 0.5951981984579586, 'bagging_fraction': 0.6332063738136893, 'bagging_freq': 3, 'n_estimators': 900, 'max_depth': 7, 'lambda_l1': 1.4046725484369038, 'lambda_l2': 2.7134804157912424}",3200.9627815148656,67.8495778939888,"[3112.835179810993, 3277.897423457826, 3212.1557412757793]"
6,"{'tweedie_variance_power': 1.2127393799798103, 'learning_rate': 0.09708210658008556, 'num_leaves': 32, 'min_child_samples': 99, 'feature_fraction': 0.8633468615779945, 'bagging_fraction': 0.5192294089205034, 'bagging_freq': 1, 'n_estimators': 900, 'max_depth': 12, 'lambda_l1': 3.6450358402049368, 'lambda_l2': 3.8563517334297286}",2768.484435181535,81.40120151635188,"[2815.657745918951, 2653.9569062849573, 2835.8386533406965]"
7,"{'tweedie_variance_power': 1.1592357213872724, 'learning_rate': 0.007726148927746463, 'num_leaves': 32, 'min_child_samples': 87, 'feature_fraction': 0.7739788760965347, 'bagging_fraction': 0.5985388149115896, 'bagging_freq': 1, 'n_estimators': 400, 'max_depth': 7, 'lambda_l1': 3.64803089169032, 'lambda_l2': 3.1877873567760657}",2652.366655605238,108.90992724329072,"[2621.160524161125, 2798.590130905691, 2537.3493117488993]"
8,"{'tweedie_variance_power': 1.8097701940610613, 'learning_rate': 0.014782014634883782, 'num_leaves': 32, 'min_child_samples': 73, 'feature_fraction': 0.8564710291701385, 'bagging_fraction': 0.7367663185416977, 'bagging_freq': 8, 'n_estimators': 500, 'max_depth': 9, 'lambda_l1': 2.137705091792748, 'lambda_l2': 0.12709563372047594}",2930.292401337634,89.49911394162352,"[2842.2048748015886, 3053.048157631337, 2895.6241715799774]"
9,"{'tweedie_variance_power': 1.1863131415946437, 'learning_rate': 0.0011963380170058652, 'num_leaves': 176, 'min_child_samples': 35, 'feature_fraction': 0.7051424146988217, 'bagging_fraction': 0.9445398843556558, 'bagging_freq': 3, 'n_estimators': 500, 'max_depth': 12, 'lambda_l1': 1.1439908274581123, 'lambda_l2': 0.38489954914396496}",4219.1012986809665,82.72774867285224,"[4187.284163401488, 4332.511522858806, 4137.508209782608]"
10,"{'tweedie_variance_power': 1.287361389523197, 'learning_rate': 0.0049617862287242576, 'num_leaves': 32, 'min_child_samples': 85, 'feature_fraction': 0.8666183659647407, 'bagging_fraction': 0.5556823951106991, 'bagging_freq': 5, 'n_estimators': 600, 'max_depth': 4, 'lambda_l1': 4.560037552993041, 'lambda_l2': 2.946438346071462}",2750.456446946719,113.61923389244481,"[2693.1907120016203, 2909.1065139213247, 2649.072114917213]"
11,"{'tweedie_variance_power': 1.3994174738398493, 'learning_rate': 0.16731345840265152, 'num_leaves': 128, 'min_child_samples': 56, 'feature_fraction': 0.7968325561036772, 'bagging_fraction': 0.4404045602763531, 'bagging_freq': 9, 'n_estimators': 700, 'max_depth': 13, 'lambda_l1': 4.770666433705397, 'lambda_l2': 1.5092427779809423}",2898.939917141239,128.6069989622385,"[2994.9687392412966, 2984.692053731742, 2717.1589584506796]"
12,"{'tweedie_variance_power': 1.2497125543664787, 'learning_rate': 0.029503563348559924, 'num_leaves': 32, 'min_child_samples': 96, 'feature_fraction': 0.6173145708025866, 'bagging_fraction': 0.5378820114502303, 'bagging_freq': 2, 'n_estimators': 200, 'max_depth': 6, 'lambda_l1': 2.4169226256657943, 'lambda_l2': 2.8213741461124773}",2627.484693275474,92.01099381513819,"[2523.266793666993, 2747.0696130628985, 2612.1176730965303]"
13,"{'tweedie_variance_power': 1.1242001122374605, 'learning_rate': 0.06088775961032003, 'num_leaves': 32, 'min_child_samples': 74, 'feature_fraction': 0.8878494075099042, 'bagging_fraction': 0.5102262592419351, 'bagging_freq': 1, 'n_estimators': 200, 'max_depth': 6, 'lambda_l1': 2.831648722827673, 'lambda_l2': 3.653403336894355}",2618.938510380356,143.65134618037257,"[2528.485753430956, 2821.6999260986468, 2506.629851611466]"
