trial_number,params,mean_score,std_score,partition_scores
0,"{'learning_rate': 0.008468008575248327, 'num_leaves': 256, 'min_child_samples': 75, 'feature_fraction': 0.759195090518222, 'bagging_fraction': 0.4936111842654619, 'bagging_freq': 2, 'n_estimators': 100, 'max_depth': 14, 'lambda_l1': 3.005575058716044, 'lambda_l2': 3.540362888980227}",3434.8182779947915,139.48486820259717,"[3249.6513671875, 3586.299560546875, 3468.50390625]"
1,"{'learning_rate': 0.001124579825911934, 'num_leaves': 256, 'min_child_samples': 84, 'feature_fraction': 0.5274034664069657, 'bagging_fraction': 0.5090949803242604, 'bagging_freq': 2, 'n_estimators': 400, 'max_depth': 9, 'lambda_l1': 2.1597250932105787, 'lambda_l2': 1.4561457009902097}",4366.44091796875,90.13729858696868,"[4258.119140625, 4478.798828125, 4362.40478515625]"
2,"{'learning_rate': 0.032781876533976156, 'num_leaves': 48, 'min_child_samples': 33, 'feature_fraction': 0.619817105976215, 'bagging_fraction': 0.6736419905302216, 'bagging_freq': 8, 'n_estimators': 200, 'max_depth': 9, 'lambda_l1': 2.9620728443102124, 'lambda_l2': 0.23225206359998862}",2380.5668131510415,195.4095520859512,"[2138.567626953125, 2617.128662109375, 2386.004150390625]"
3,"{'learning_rate': 0.03198617182203562, 'num_leaves': 48, 'min_child_samples': 11, 'feature_fraction': 0.9693313223519999, 'bagging_fraction': 0.9793792198447356, 'bagging_freq': 9, 'n_estimators': 400, 'max_depth': 4, 'lambda_l1': 3.4211651325607844, 'lambda_l2': 2.2007624686980067}",2408.36669921875,73.56931939463612,"[2337.72705078125, 2509.83935546875, 2377.53369140625]"
4,"{'learning_rate': 0.002005873336344495, 'num_leaves': 128, 'min_child_samples': 8, 'feature_fraction': 0.9455922412472693, 'bagging_fraction': 0.5552679889600102, 'bagging_freq': 7, 'n_estimators': 400, 'max_depth': 9, 'lambda_l1': 2.7335513967163982, 'lambda_l2': 0.9242722776276352}",3594.5228678385415,124.46058603689853,"[3438.0439453125, 3742.557861328125, 3602.966796875]"
5,"{'learning_rate': 0.25221951700214285, 'num_leaves': 208, 'min_child_samples': 95, 'feature_fraction': 0.9368964102565893, 'bagging_fraction': 0.7587399872866512, 'bagging_freq': 10, 'n_estimators': 100, 'max_depth': 5, 'lambda_l1': 0.22613644455269033, 'lambda_l2': 1.6266516538163218}",2565.698486328125,135.15230208009396,"[2375.751708984375, 2679.09423828125, 2642.24951171875]"
6,"{'learning_rate': 0.00917911425163946, 'num_leaves': 80, 'min_child_samples': 84, 'feature_fraction': 0.6140519960161536, 'bagging_fraction': 0.5685607058124285, 'bagging_freq': 6, 'n_estimators': 200, 'max_depth': 13, 'lambda_l1': 0.3727532183988541, 'lambda_l2': 4.9344346830025865}",2616.4609375,208.01497491082466,"[2332.801513671875, 2825.80615234375, 2690.775146484375]"
7,"{'learning_rate': 0.08183591298101361, 'num_leaves': 64, 'min_child_samples': 5, 'feature_fraction': 0.8892768570729005, 'bagging_fraction': 0.8241144063085704, 'bagging_freq': 8, 'n_estimators': 800, 'max_depth': 3, 'lambda_l1': 1.7923286427213632, 'lambda_l2': 0.5793452976256486}",2817.982666015625,271.3760195493618,"[2462.075439453125, 2871.578125, 3120.29443359375]"
8,"{'learning_rate': 0.1374079439469766, 'num_leaves': 160, 'min_child_samples': 36, 'feature_fraction': 0.4381350101716142, 'bagging_fraction': 0.5865893930293973, 'bagging_freq': 4, 'n_estimators': 800, 'max_depth': 11, 'lambda_l1': 4.436063712881633, 'lambda_l2': 2.3610746258097466}",2433.815185546875,178.02947439397818,"[2186.6474609375, 2598.906005859375, 2515.89208984375]"
9,"{'learning_rate': 0.0019781054912383746, 'num_leaves': 192, 'min_child_samples': 78, 'feature_fraction': 0.7367663185416977, 'bagging_fraction': 0.8625803079727365, 'bagging_freq': 5, 'n_estimators': 600, 'max_depth': 8, 'lambda_l1': 0.12709563372047594, 'lambda_l2': 0.5394571349665223}",3096.654541015625,112.03394201405928,"[2978.41650390625, 3247.109375, 3064.437744140625]"
